venue,latitude_x,longitude_x
Aquatics Centre,,
Bercy Arena,48.838017,2.3822362
Bordeaux Stadium,,
Champ de Mars Arena,,
Château de Versailles,48.8028983,2.1270286
Chateauroux Shooting Centre,,
Eiffel Tower Stadium,,
Elancourt Hill,,
Geoffroy-Guichard Stadium,,
Grand Palais,48.8661614,2.3122229
Hôtel de Ville,48.8564263,2.3525276
Invalides,48.8601723,2.314497
La Beaujoire Stadium,,
La Concorde,48.8655715,2.3212248
Le Bourget Sport Climbing Venue,,
Golf National,,
Lyon Stadium,,
Marseille Marina,,
Marseille Stadium,,
Nice Stadium,,
North Paris Arena,,
Parc des Princes,48.8413634,2.2530693
Paris La Defense Arena,,
Pierre Mauroy Stadium,,
Pont Alexandre III,48.8634697,2.3135181
Porte de La Chapelle Arena,,
Stade Roland-Garros,48.846869,2.2484179
Saint-Quentin-en-Yvelines BMX Stadium,,
Saint-Quentin-en-Yvelines Velodrome,,
South Paris Arena,,
Stade de France,48.8557562,2.3535027
"Teahupo'o, Tahiti",,
Trocadéro,48.863045,2.2871938
Vaires-sur-Marne Nautical Stadium,,
Yves-du-Manoir Stadium,,
